levelName,p,cost,notx,attend,check
 ¦                           °--TB diagnosed (clinical)                          ,soc.dh.test*(1-soc.dh.bact.tbdx),0,0,0,0
 ¦                               °--RifS-TB treatment                            ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
 ¦                                   ¦--Survives                                 ,1-cfr.tx,0,0,1,1
 ¦                                   °--Dies                                     ,cfr.tx,0,0,1,1
 °--Present at PHC                                                               ,1-dh.presented,0,0,0,0
     °--TB screening                                                             ,phc.screened,0,0,0,0
         °--Presumptive TB at PHC                                                ,phc.presumed,0,0,0,0
             ¦--Clinical exam only                                               ,1-soc.phc.test,cost.phc.examCXR,0,0,0
             ¦   ¦--TB diagnosed (clinical)                                      ,soc.phc.notest.ptbc,0,0,0,0
             ¦   ¦   °--RifS-TB treatment                                        ,1-phc.ptltfu,cost.phc.rsATT,0,0,0
             ¦   ¦       ¦--Survives                                             ,1-cfr.tx,0,0,1,1
             ¦   ¦       °--Dies                                                 ,cfr.tx,0,0,1,1
             ¦   °--No TB diagnosed                                              ,1-soc.phc.notest.ptbc,0,0,0,0
             ¦       °--Refer to DH                                              ,1-soc.phc.rltfu,cost.phc.refer,0,0,0
             ¦           ¦--Clinical exam only                                   ,1-soc.dh.test,cost.dh.examCXR,0,0,0
             ¦           ¦   ¦--TB diagnosed (clinical)                          ,soc.dh.notest.ptbc,0,0,0,0
             ¦           ¦   ¦   °--RifS-TB treatment                            ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
             ¦           ¦   ¦       ¦--Survives                                 ,1-cfr.tx,0,0,1,1
             ¦           ¦   ¦       °--Dies                                     ,cfr.tx,0,0,1,1
             ¦           ¦   °--No TB diagnosed                                  ,1-soc.dh.notest.ptbc,0,0,0,0
             ¦           ¦       °--Reassessment                                 ,1-dh.14dhltfu,0,0,0,0
             ¦           ¦           °--Clinical exam only                       ,1,cost.dh.examCXR,0,0,0
             ¦           ¦               °--TB diagnosed (clinical)              ,soc.dh.notest.ptbc,0,0,0,0
             ¦           ¦                   °--RifS-TB treatment                ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
             ¦           ¦                       ¦--Survives                     ,1-cfr.tx,0,0,1,1
             ¦           ¦                       °--Dies                         ,cfr.tx,0,0,1,1
             ¦           ¦--Clinical exam + Xpert Ultra                          ,soc.dh.test*soc.dh.fracUltra,cost.Xpert,0,0,0
             ¦           ¦   ¦--TB diagnosed (bacteriological)                   ,soc.dh.ptbxUltra,0,0,0,0
             ¦           ¦   ¦   ¦--RifS-TB diagnosed                            ,1-prr,0,0,0,0
             ¦           ¦   ¦   ¦   °--RifS-TB treatment                        ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
             ¦           ¦   ¦   ¦       ¦--Survives                             ,1-cfr.tx,0,0,1,1
             ¦           ¦   ¦   ¦       °--Dies                                 ,cfr.tx,0,0,1,1
             ¦           ¦   ¦   °--RifR-TB diagnosed                            ,prr,0,0,0,0
             ¦           ¦   ¦       °--RifR-TB treatment                        ,1-dh.ptltfu,cost.dh.rrATT,0,0,0
             ¦           ¦   ¦           ¦--Survives                             ,1-cfr.tx,0,0,1,1
             ¦           ¦   ¦           °--Dies                                 ,cfr.tx,0,0,1,1
             ¦           ¦   ¦--TB diagnosed (clinical)                          ,soc.dh.test*(1-soc.dh.ptbxUltra),0,0,0,0
             ¦           ¦   ¦   °--RifS-TB treatment                            ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
             ¦           ¦   ¦       ¦--Survives                                 ,1-cfr.tx,0,0,1,1
             ¦           ¦   ¦       °--Dies                                     ,cfr.tx,0,0,1,1
             ¦           ¦   °--No TB diagnosed                                  ,(1-soc.dh.test)*(1-soc.dh.ptbxUltra),0,0,0,0
             ¦           ¦       °--Reassessment                                 ,1-dh.14dhltfu,0,0,0,0
             ¦           ¦           °--Clinical & or bacteriological assessment*,1,cost.dh.examCXR,0,0,0
             ¦           ¦               ¦--TB diagnosed (bacteriological)       ,soc.dh.bact.tbdx,cost.Xpert,0,0,0
             ¦           ¦               ¦   ¦--RifS-TB diagnosed                ,1-prr,0,0,0,0
             ¦           ¦               ¦   ¦   °--RifS-TB treatment            ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
             ¦           ¦               ¦   ¦       ¦--Survives                 ,1-cfr.tx,0,0,1,1
             ¦           ¦               ¦   ¦       °--Dies                     ,cfr.tx,0,0,1,1
             ¦           ¦               ¦   °--RifR-TB diagnosed                ,prr,0,0,0,0
             ¦           ¦               ¦       °--RifR-TB treatment            ,1-dh.ptltfu,cost.dh.rrATT,0,0,0
             ¦           ¦               ¦           ¦--Survives                 ,1-cfr.tx,0,0,1,1
             ¦           ¦               ¦           °--Dies                     ,cfr.tx,0,0,1,1
             ¦           ¦               °--TB diagnosed (clinical)              ,soc.dh.test*(1-soc.dh.bact.tbdx),0,0,0,0
             ¦           ¦                   °--RifS-TB treatment                ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
             ¦           ¦                       ¦--Survives                     ,1-cfr.tx,0,0,1,1
             ¦           ¦                       °--Dies                         ,cfr.tx,0,0,1,1
             ¦           °--Clinical exam + TrueNat                              ,soc.dh.test*(1-soc.dh.fracUltra),cost.Truenat,0,0,0
             ¦               ¦--TB diagnosed (bacteriological)                   ,soc.dh.ptbxTrueNat,0,0,0,0
             ¦               ¦   ¦--RifS-TB diagnosed                            ,1-prr,0,0,0,0
             ¦               ¦   ¦   °--RifS-TB treatment                        ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
             ¦               ¦   ¦       ¦--Survives                             ,1-cfr.tx,0,0,1,1
             ¦               ¦   ¦       °--Dies                                 ,cfr.tx,0,0,1,1
             ¦               ¦   °--RifR-TB diagnosed                            ,prr,0,0,0,0
             ¦               ¦       °--RifR-TB treatment                        ,1-dh.ptltfu,cost.dh.rrATT,0,0,0
             ¦               ¦           ¦--Survives                             ,1-cfr.tx,0,0,1,1
             ¦               ¦           °--Dies                                 ,cfr.tx,0,0,1,1
             ¦               ¦--TB diagnosed (clinical)                          ,soc.dh.test*(1-soc.dh.ptbxTrueNat),0,0,0,0
             ¦               ¦   °--RifS-TB treatment                            ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
             ¦               ¦       ¦--Survives                                 ,1-cfr.tx,0,0,1,1
             ¦               ¦       °--Dies                                     ,cfr.tx,0,0,1,1
             ¦               °--No TB diagnosed                                  ,(1-soc.dh.test)*(1-soc.dh.ptbxTrueNat),0,0,0,0
             ¦                   °--Reassessment                                 ,1-dh.14dhltfu,0,0,0,0
             ¦                       °--Clinical & or bacteriological assessment*,1,cost.dh.examCXR,0,0,0
             ¦                           ¦--TB diagnosed (bacteriological)       ,soc.dh.bact.tbdx,cost.Truenat,0,0,0
             ¦                           ¦   ¦--RifS-TB diagnosed                ,1-prr,0,0,0,0
             ¦                           ¦   ¦   °--RifS-TB treatment            ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
             ¦                           ¦   ¦       ¦--Survives                 ,1-cfr.tx,0,0,1,1
             ¦                           ¦   ¦       °--Dies                     ,cfr.tx,0,0,1,1
             ¦                           ¦   °--RifR-TB diagnosed                ,prr,0,0,0,0
             ¦                           ¦       °--RifR-TB treatment            ,1-dh.ptltfu,cost.dh.rrATT,0,0,0
             ¦                           ¦           ¦--Survives                 ,1-cfr.tx,0,0,1,1
             ¦                           ¦           °--Dies                     ,cfr.tx,0,0,1,1
             ¦                           °--TB diagnosed (clinical)              ,soc.dh.test*(1-soc.dh.bact.tbdx),0,0,0,0
             ¦                               °--RifS-TB treatment                ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
             ¦                                   ¦--Survives                     ,1-cfr.tx,0,0,1,1
             ¦                                   °--Dies                         ,cfr.tx,0,0,1,1
             ¦--Clinical exam + Xpert Ultra                                      ,soc.phc.test*soc.phc.fracUltra,cost.Xpert,0,0,0
             ¦   ¦--TB diagnosed (bacteriological)                               ,soc.phc.ptbxUltra,0,0,0,0
             ¦   ¦   ¦--RifS-TB diagnosed                                        ,1-prr,0,0,0,0
             ¦   ¦   ¦   °--RifS-TB treatment                                    ,1-phc.ptltfu,cost.phc.rsATT,0,0,0
             ¦   ¦   ¦       ¦--Survives                                         ,1-cfr.tx,0,0,1,1
             ¦   ¦   ¦       °--Dies                                             ,cfr.tx,0,0,1,1
             ¦   ¦   °--RifR-TB diagnosed                                        ,prr,0,0,0,0
             ¦   ¦       °--RifR-TB treatment                                    ,1-phc.ptltfu,cost.phc.rrATT,0,0,0
             ¦   ¦           ¦--Survives                                         ,1-cfr.tx,0,0,1,1
             ¦   ¦           °--Dies                                             ,cfr.tx,0,0,1,1
             ¦   ¦--TB diagnosed (clinical)                                      ,soc.dh.test*(1-soc.phc.ptbxUltra),0,0,0,0
             ¦   ¦   °--RifS-TB treatment                                        ,1-phc.ptltfu,cost.phc.rsATT,0,0,0
             ¦   ¦       ¦--Survives                                             ,1-cfr.tx,0,0,1,1
             ¦   ¦       °--Dies                                                 ,cfr.tx,0,0,1,1
             ¦   °--No TB diagnosed                                              ,(1-soc.dh.test)*(1-soc.phc.ptbxUltra),0,0,0,0
             ¦       °--Reassessment                                             ,1-dh.14dhltfu,0,0,0,0
             ¦           °--Clinical & or bacteriological assessment*            ,1,cost.dh.examCXR,0,0,0
             ¦               ¦--TB diagnosed (bacteriological)                   ,soc.dh.bact.tbdx,cost.Xpert,0,0,0
             ¦               ¦   ¦--RifS-TB diagnosed                            ,1-prr,0,0,0,0
             ¦               ¦   ¦   °--RifS-TB treatment                        ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
             ¦               ¦   ¦       ¦--Survives                             ,1-cfr.tx,0,0,1,1
             ¦               ¦   ¦       °--Dies                                 ,cfr.tx,0,0,1,1
             ¦               ¦   °--RifR-TB diagnosed                            ,prr,0,0,0,0
             ¦               ¦       °--RifR-TB treatment                        ,1-dh.ptltfu,cost.dh.rrATT,0,0,0
             ¦               ¦           ¦--Survives                             ,1-cfr.tx,0,0,1,1
             ¦               ¦           °--Dies                                 ,cfr.tx,0,0,1,1
             ¦               °--TB diagnosed (clinical)                          ,soc.dh.test*(1-soc.dh.bact.tbdx),0,0,0,0
             ¦                   °--RifS-TB treatment                            ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
             ¦                       ¦--Survives                                 ,1-cfr.tx,0,0,1,1
             ¦                       °--Dies                                     ,cfr.tx,0,0,1,1
             °--Clinical exam + TrueNat                                          ,soc.phc.test*(1-soc.phc.fracUltra),cost.Truenat,0,0,0
                 ¦--TB diagnosed (bacteriological)                               ,soc.phc.ptbxTrueNat,0,0,0,0
                 ¦   ¦--RifS-TB diagnosed                                        ,1-prr,0,0,0,0
                 ¦   ¦   °--RifS-TB treatment                                    ,1-phc.ptltfu,cost.phc.rsATT,0,0,0
                 ¦   ¦       ¦--Survives                                         ,1-cfr.tx,0,0,1,1
                 ¦   ¦       °--Dies                                             ,cfr.tx,0,0,1,1
                 ¦   °--RifR-TB diagnosed                                        ,prr,0,0,0,0
                 ¦       °--RifR-TB treatment                                    ,1-phc.ptltfu,cost.phc.rrATT,0,0,0
                 ¦           ¦--Survives                                         ,1-cfr.tx,0,0,1,1
                 ¦           °--Dies                                             ,cfr.tx,0,0,1,1
                 ¦--TB diagnosed (clinical)                                      ,soc.dh.test*(1-soc.phc.ptbxTrueNat),0,0,0,0
                 ¦   °--RifS-TB treatment                                        ,1-phc.ptltfu,cost.phc.rsATT,0,0,0
                 ¦       ¦--Survives                                             ,1-cfr.tx,0,0,1,1
                 ¦       °--Dies                                                 ,cfr.tx,0,0,1,1
                 °--No TB diagnosed                                              ,(1-soc.dh.test)*(1-soc.phc.ptbxTrueNat),0,0,0,0
                     °--Reassessment                                             ,1-dh.14dhltfu,0,0,0,0
                         °--Clinical & or bacteriological assessment*            ,1,cost.dh.examCXR,0,0,0
                             ¦--TB diagnosed (bacteriological)                   ,soc.dh.bact.tbdx,cost.Truenat,0,0,0
                             ¦   ¦--RifS-TB diagnosed                            ,1-prr,0,0,0,0
                             ¦   ¦   °--RifS-TB treatment                        ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
                             ¦   ¦       ¦--Survives                             ,1-cfr.tx,0,0,1,1
                             ¦   ¦       °--Dies                                 ,cfr.tx,0,0,1,1
                             ¦   °--RifR-TB diagnosed                            ,prr,0,0,0,0
                             ¦       °--RifR-TB treatment                        ,1-dh.ptltfu,cost.dh.rrATT,0,0,0
                             ¦           ¦--Survives                             ,1-cfr.tx,0,0,1,1
                             ¦           °--Dies                                 ,cfr.tx,0,0,1,1
                             °--TB diagnosed (clinical)                          ,soc.dh.test*(1-soc.dh.bact.tbdx),0,0,0,0
                                 °--RifS-TB treatment                            ,1-dh.ptltfu,cost.dh.rsATT,0,0,0
                                     ¦--Survives                                 ,1-cfr.tx,0,0,1,1
                                     °--Dies                                     ,cfr.tx,0,0,1,1
